municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
130070 Boca do Acre,-,-,-,7,15,9,7,13,2,2,1,7
130080 Borba,-,2,-,-,-,-,13,17,8,25,9,3
130083 Caapiranga,-,-,-,-,-,-,-,5,-,2,1,1
130090 Canutama,-,-,-,-,-,-,-,1,8,2,2,-
130100 Carauari,-,-,-,10,16,14,6,38,43,48,31,16
130110 Careiro,-,-,4,4,7,9,6,21,27,18,2,8
130115 Careiro da Várzea,-,-,-,-,-,-,-,-,7,3,-,-
130120 Coari,-,2,-,-,2,1,11,20,94,88,51,14
130130 Codajás,-,-,-,-,-,-,2,-,14,10,18,1
130140 Eirunepé,-,-,-,1,19,21,33,16,45,29,14,26
130150 Envira,-,-,-,2,3,10,4,2,32,53,54,32
130160 Fonte Boa,-,-,-,-,-,1,1,1,4,1,6,3
130165 Guajará,1,-,-,-,-,-,-,-,7,3,5,-
130170 Humaitá,-,-,-,-,-,-,2,19,16,24,6,4
130180 Ipixuna,2,13,1,3,7,-,-,3,5,6,7,-
130185 Iranduba,-,1,1,1,1,38,28,21,32,16,16,23
130190 Itacoatiara,-,-,9,10,14,34,12,32,44,44,34,29
130195 Itamarati,-,-,-,-,3,2,2,5,18,1,3,-
130200 Itapiranga,-,4,1,-,1,-,1,-,2,1,1,3
130210 Japurá,-,8,-,-,-,-,-,-,-,-,-,-
130220 Juruá,-,-,3,1,8,2,4,2,7,5,1,-
130230 Jutaí,3,-,6,-,4,1,16,5,26,6,12,5
130240 Lábrea,-,-,7,3,2,5,4,-,26,38,21,6
130250 Manacapuru,-,2,1,19,10,18,22,3,32,70,28,26
130255 Manaquiri,-,-,1,1,6,4,3,1,9,7,8,5
130260 Manaus,58,173,515,747,642,439,617,1120,1909,3432,2488,1108
130270 Manicoré,-,-,-,1,-,9,1,3,21,9,22,18
130280 Maraã,1,-,7,1,2,9,15,23,33,7,11,2
130290 Maués,-,4,8,21,9,7,2,-,11,15,13,8
130300 Nhamundá,-,-,-,-,-,-,2,-,1,-,-,-
130310 Nova Olinda do Norte,-,-,-,-,-,9,21,14,17,35,23,16
130320 Novo Airão,-,1,-,3,3,9,18,12,17,5,2,7
130330 Novo Aripuanã,3,2,3,1,2,12,-,6,16,2,2,1
130340 Parintins,-,4,-,-,-,20,9,41,157,60,66,56
130350 Pauini,-,-,-,2,-,1,4,10,33,52,36,24
130353 Presidente Figueiredo,-,1,1,2,5,6,4,7,40,19,18,12
130356 Rio Preto da Eva,-,-,-,-,-,-,-,-,6,12,11,5
130360 Santa Isabel do Rio Negro,-,-,-,-,2,-,3,18,31,18,20,6
130370 Santo Antônio do Içá,-,-,-,1,4,4,6,2,4,2,3,1
130380 São Gabriel da Cachoeira,-,-,-,1,8,-,2,40,29,14,13,16
130390 São Paulo de Olivença,-,12,6,3,1,2,6,1,17,11,6,4
130395 São Sebastião do Uatumã,-,-,-,-,-,2,-,-,-,-,5,5
130400 Silves,-,-,-,-,-,7,2,2,2,2,1,-
130406 Tabatinga,3,2,-,-,1,2,6,1,134,87,73,30
130410 Tapauá,-,-,2,-,-,-,-,24,1,3,7,2
130420 Tefé,-,3,-,21,23,15,39,23,44,20,21,9
130423 Tonantins,-,-,1,-,-,3,3,3,28,14,1,3
130426 Uarini,-,-,-,-,-,1,2,1,8,1,5,1
130430 Urucará,-,1,1,4,-,-,-,5,9,11,1,1
130440 Urucurituba,-,-,-,-,1,1,3,-,6,22,7,2
130000 Município ignorado - AM,-,-,-,-,-,-,-,-,-,-,-,-
140005 Alto Alegre,-,-,-,-,-,1,1,-,-,4,5,2
140002 Amajari,-,2,1,-,-,-,3,1,6,2,3,2
140010 Boa Vista,-,-,2,1,15,85,234,145,575,557,304,142
140015 Bonfim,-,-,-,-,-,-,-,5,8,2,11,4
140017 Cantá,-,-,-,-,-,-,-,2,2,6,1,-
140020 Caracaraí,-,2,-,2,6,2,-,1,20,15,13,2
140023 Caroebe,-,-,-,-,-,1,1,3,1,-,5,3
140028 Iracema,-,-,-,-,-,-,-,-,7,8,-,3
140030 Mucajaí,-,-,-,-,-,-,-,4,1,3,5,5
140040 Normandia,-,-,-,-,-,2,1,-,-,4,2,2
140045 Pacaraima,-,1,3,-,1,1,1,2,8,7,12,9
140047 Rorainópolis,-,-,-,1,19,6,4,7,8,19,18,11
140050 São João da Baliza,-,-,-,-,-,-,-,-,-,10,25,3
140060 São Luiz,-,1,-,1,-,-,2,2,8,8,5,-
140070 Uiramutã,-,-,-,-,-,1,-,-,6,7,2,1
140000 Município ignorado - RR,-,-,-,-,-,-,-,-,-,-,-,-
150010 Abaetetuba,1,1,-,-,12,32,16,140,176,90,60,48
150013 Abel Figueiredo,-,-,-,-,-,-,-,-,-,-,-,-
150020 Acará,-,-,-,-,-,-,-,2,3,3,1,-
150030 Afuá,-,-,-,-,-,-,-,-,1,5,1,-
150034 Água Azul do Norte,-,-,-,-,-,-,-,-,-,5,2,-
150040 Alenquer,-,-,-,-,-,-,2,20,15,18,12,8
150050 Almeirim,-,1,-,1,-,1,-,-,-,-,-,-
150060 Altamira,-,1,4,29,3,12,30,11,19,30,13,14
150070 Anajás,-,-,-,-,-,-,-,1,-,-,-,12
150080 Ananindeua,-,-,-,13,14,16,9,23,36,72,285,211
150085 Anapu,-,-,-,-,-,2,-,6,22,8,2,2
150090 Augusto Corrêa,-,-,1,-,1,1,1,2,-,-,3,-
150095 Aurora do Pará,-,-,-,-,1,-,8,3,20,8,9,3
150100 Aveiro,-,-,-,1,-,-,-,-,-,1,-,-
150110 Bagre,-,-,-,-,-,-,1,-,4,7,11,1
150120 Baião,1,-,1,-,-,-,2,1,7,7,1,5
150125 Bannach,-,-,-,-,-,-,-,-,6,9,-,3
150130 Barcarena,-,-,-,-,22,-,-,-,24,27,14,17
150140 Belém,-,15,16,3,42,90,559,796,671,698,462,251
150145 Belterra,-,-,-,-,-,-,-,-,-,-,-,-
150150 Benevides,-,-,-,3,1,5,5,3,47,35,16,16
150157 Bom Jesus do Tocantins,-,-,-,-,-,-,-,-,-,-,-,-
150160 Bonito,1,-,-,-,-,1,-,-,-,-,3,-
150170 Bragança,-,1,1,44,26,14,20,12,57,53,69,30
150172 Brasil Novo,-,-,2,4,2,-,-,1,2,5,1,-
150175 Brejo Grande do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-
150178 Breu Branco,1,-,-,-,-,-,-,2,-,4,-,-
150180 Breves,3,15,15,3,11,10,11,11,8,9,17,10
150190 Bujaru,-,-,-,-,-,-,-,-,-,-,2,3
150200 Cachoeira do Arari,-,-,-,-,-,1,1,-,-,4,6,-
150195 Cachoeira do Piriá,-,-,-,-,-,-,-,-,-,-,-,2
150210 Cametá,-,-,-,-,-,-,-,-,-,-,42,17
150215 Canaã dos Carajás,2,-,-,1,11,4,3,20,9,5,12,10
150220 Capanema,-,-,-,-,1,-,-,15,8,28,36,11
150230 Capitão Poço,-,-,-,-,-,-,-,-,15,27,12,3
150240 Castanhal,-,-,-,6,10,1,1,15,32,-,-,-
150250 Chaves,-,-,-,-,-,-,3,-,1,11,3,4
150260 Colares,-,-,-,-,-,-,-,-,2,-,1,-
150270 Conceição do Araguaia,-,-,-,1,3,6,19,32,41,39,7,7
150275 Concórdia do Pará,-,-,-,-,-,-,-,-,1,1,-,-
150276 Cumaru do Norte,1,-,-,-,-,-,1,1,-,-,-,-
150277 Curionópolis,-,-,-,4,2,6,2,1,-,1,-,4
150280 Curralinho,-,-,-,-,-,1,1,-,-,2,1,1
150285 Curuá,-,-,-,-,-,-,-,3,-,1,3,1
150290 Curuçá,-,2,3,-,2,16,11,6,55,62,26,11
150293 Dom Eliseu,-,-,-,-,-,-,-,-,3,3,1,-
150295 Eldorado do Carajás,-,-,-,-,-,-,-,-,3,4,3,4
150300 Faro,-,-,-,-,-,-,-,-,-,-,-,-
150304 Floresta do Araguaia,-,-,-,-,-,1,-,1,1,1,-,2
150307 Garrafão do Norte,-,-,-,-,-,-,-,-,2,1,-,1
150309 Goianésia do Pará,-,-,-,-,-,-,-,4,14,7,5,5
150310 Gurupá,-,8,23,8,-,-,-,-,1,6,-,4
150320 Igarapé-Açu,-,1,-,-,-,-,5,6,3,9,3,1
150330 Igarapé-Miri,-,-,-,-,1,-,-,-,-,-,3,10
150340 Inhangapi,1,-,-,-,-,-,-,-,2,-,-,1
150345 Ipixuna do Pará,-,2,-,-,-,1,-,-,17,11,9,18
150350 Irituia,-,-,-,-,-,1,1,3,16,4,3,-
150360 Itaituba,-,-,-,1,1,32,2,4,1,-,-,18
150370 Itupiranga,-,8,2,-,1,3,1,9,18,25,5,8
150375 Jacareacanga,4,-,-,-,-,-,5,19,16,5,8,10
150380 Jacundá,-,6,1,-,-,-,5,7,77,41,33,5
150390 Juruti,-,-,-,-,-,2,-,6,9,13,3,8
150400 Limoeiro do Ajuru,-,-,-,-,-,-,-,-,5,6,11,-
150405 Mãe do Rio,-,-,2,-,-,-,-,-,2,1,6,2
150410 Magalhães Barata,-,-,-,2,-,-,-,19,23,19,6,-
150420 Marabá,-,-,-,-,-,-,-,-,-,20,72,101
150430 Maracanã,-,-,-,-,1,5,1,-,4,-,-,-
150440 Marapanim,-,-,-,-,-,1,-,11,15,23,30,6
150442 Marituba,-,-,3,1,2,-,-,-,22,20,-,1
150445 Medicilândia,-,-,-,-,-,-,-,-,2,3,8,8
150450 Melgaço,-,-,-,-,2,-,-,1,1,-,2,-
150460 Mocajuba,-,-,-,-,-,-,-,1,4,10,20,3
150470 Moju,-,-,-,1,-,-,-,-,3,1,-,-
150475 Mojuí dos Campos,-,-,-,-,-,-,-,-,-,2,-,-
150480 Monte Alegre,-,-,1,-,-,-,4,6,5,5,9,3
150490 Muaná,-,1,-,3,1,-,3,2,-,4,1,-
150495 Nova Esperança do Piriá,-,-,-,-,-,-,1,-,-,3,-,1
150497 Nova Ipixuna,-,-,1,1,1,1,-,9,6,6,3,-
150500 Nova Timboteua,-,-,-,-,-,-,3,2,8,3,1,-
150503 Novo Progresso,-,-,-,-,-,-,-,2,19,8,14,9
150506 Novo Repartimento,-,-,1,1,2,1,3,8,5,6,8,6
150510 Óbidos,-,-,-,-,-,1,-,6,4,5,6,3
150520 Oeiras do Pará,-,-,-,-,-,-,-,-,-,16,9,8
150530 Oriximiná,-,-,-,-,-,5,-,-,-,-,-,-
150540 Ourém,-,-,-,-,-,-,1,-,1,2,1,-
150543 Ourilândia do Norte,-,-,-,1,1,-,2,16,13,19,6,2
150548 Pacajá,-,-,-,1,-,-,-,12,4,2,12,5
150549 Palestina do Pará,-,-,-,-,-,-,1,-,-,-,-,-
150550 Paragominas,-,-,-,3,1,4,1,13,50,70,47,30
150553 Parauapebas,-,-,-,-,-,-,-,-,-,122,89,72
150555 Pau D'Arco,-,-,-,-,-,-,1,2,3,3,1,-
150560 Peixe-Boi,-,-,-,-,-,-,2,1,-,1,4,-
150563 Piçarra,-,2,-,-,-,-,-,-,1,1,-,5
150565 Placas,-,-,-,1,-,-,-,-,-,3,-,-
150570 Ponta de Pedras,-,-,1,-,-,1,2,-,4,9,15,6
150580 Portel,-,-,-,-,-,-,-,-,-,1,-,-
150590 Porto de Moz,-,-,-,-,-,-,-,-,-,1,-,9
150600 Prainha,-,-,-,-,-,1,-,3,12,7,7,4
150610 Primavera,-,-,-,26,3,1,-,1,6,4,-,1
150611 Quatipuru,-,2,-,-,-,3,-,3,28,15,1,-
150613 Redenção,-,6,1,-,8,3,14,20,21,10,18,10
150616 Rio Maria,-,-,-,-,1,-,1,3,15,5,21,10
150618 Rondon do Pará,-,-,-,-,-,-,-,-,-,9,-,-
150619 Rurópolis,-,-,4,-,-,1,3,4,-,7,1,2
150620 Salinópolis,-,-,-,-,-,-,-,1,8,65,101,54
150630 Salvaterra,-,-,-,-,-,2,-,4,2,2,2,2
150635 Santa Bárbara do Pará,-,-,-,-,-,-,-,1,2,5,-,5
150640 Santa Cruz do Arari,-,1,-,-,-,4,5,2,4,2,6,3
150650 Santa Izabel do Pará,-,-,1,-,-,-,1,2,1,-,2,5
150655 Santa Luzia do Pará,-,1,2,2,3,1,-,5,5,4,2,3
150658 Santa Maria das Barreiras,-,-,-,-,-,-,-,-,-,1,-,-
150660 Santa Maria do Pará,-,1,-,-,-,-,-,1,18,4,3,-
150670 Santana do Araguaia,-,1,-,-,-,-,-,14,1,1,-,-
150680 Santarém,1,36,17,33,160,36,59,71,431,387,304,154
150690 Santarém Novo,-,-,-,-,-,-,-,3,2,9,-,1
150700 Santo Antônio do Tauá,-,-,-,-,-,-,-,-,-,3,1,-
150710 São Caetano de Odivelas,-,-,1,-,-,-,-,-,1,-,-,2
150715 São Domingos do Araguaia,-,-,-,-,-,-,3,-,-,2,1,-
150720 São Domingos do Capim,-,-,-,-,-,-,-,-,2,3,2,1
150730 São Félix do Xingu,-,-,-,-,1,2,1,3,18,44,14,25
150740 São Francisco do Pará,-,2,-,-,-,-,-,-,10,4,2,1
150745 São Geraldo do Araguaia,3,4,-,-,-,-,2,-,1,2,4,4
150746 São João da Ponta,-,6,1,-,-,-,4,-,6,2,-,-
150747 São João de Pirabas,-,-,1,-,-,2,5,12,34,19,22,8
150750 São João do Araguaia,-,-,-,-,6,-,-,-,1,-,4,1
150760 São Miguel do Guamá,-,-,-,-,-,-,6,8,4,12,40,5
150770 São Sebastião da Boa Vista,-,-,-,-,-,-,-,-,1,-,13,8
150775 Sapucaia,-,-,-,-,1,-,-,-,3,-,-,16
150780 Senador José Porfírio,-,-,-,-,-,2,-,2,1,-,1,-
150790 Soure,1,4,-,-,-,-,-,-,2,-,-,-
150795 Tailândia,-,1,-,-,-,-,-,79,14,10,19,14
150796 Terra Alta,-,-,-,-,-,1,-,-,1,1,-,1
150797 Terra Santa,-,-,-,-,-,1,2,4,13,15,6,5
150800 Tomé-Açu,-,-,-,1,-,-,-,-,1,1,-,-
150803 Tracuateua,-,-,-,3,1,6,2,14,21,43,22,12
150805 Trairão,-,-,1,1,2,-,-,5,7,10,10,6
150808 Tucumã,-,-,-,-,-,1,-,-,4,-,2,-
150810 Tucuruí,-,1,6,22,17,11,10,7,7,4,-,-
150812 Ulianópolis,-,-,-,-,-,-,-,-,-,-,-,-
150815 Uruará,1,1,-,1,-,-,1,1,-,-,-,-
150820 Vigia,-,-,1,1,-,3,2,2,21,1,7,2
150830 Viseu,-,-,-,-,2,-,4,2,2,8,13,1
150835 Vitória do Xingu,-,-,-,-,-,-,-,1,1,7,6,3
150840 Xinguara,-,-,2,-,1,75,140,124,151,149,58,31
150000 Município ignorado - PA,-,-,-,-,-,-,-,-,-,-,-,-
160010 Amapá,-,-,-,-,1,9,15,3,2,7,7,3
160020 Calçoene,-,-,-,-,-,-,-,-,1,-,-,-
160021 Cutias,-,-,-,-,-,3,5,10,6,6,2,-
160023 Ferreira Gomes,-,-,-,-,-,-,-,1,4,7,1,-
160025 Itaubal,-,-,-,-,1,-,-,-,4,-,1,-
160027 Laranjal do Jari,1,-,-,2,1,6,13,32,60,111,42,19
160030 Macapá,-,-,-,-,1,36,125,123,252,271,180,164
160040 Mazagão,-,-,-,-,1,1,4,6,4,5,4,4
160050 Oiapoque,-,-,1,13,10,14,13,12,27,20,10,4
160015 Pedra Branca do Amapari,-,-,-,-,-,-,-,2,-,7,29,5
160053 Porto Grande,-,-,-,5,-,-,3,2,-,9,-,6
160055 Pracuúba,-,-,-,-,-,-,-,-,-,1,-,-
160060 Santana,-,-,-,-,1,-,1,44,29,33,17,7
160005 Serra do Navio,-,2,-,2,10,2,-,2,1,-,-,-
160070 Tartarugalzinho,-,-,-,7,5,7,3,17,16,12,3,22
160080 Vitória do Jari,-,-,-,-,-,-,2,5,8,2,7,6
160000 Município ignorado - AP,-,-,-,-,-,-,-,-,-,-,-,-
170025 Abreulândia,-,-,-,-,-,-,-,-,2,-,-,1
170030 Aguiarnópolis,-,-,-,-,-,-,1,2,8,3,2,-
170035 Aliança do Tocantins,-,1,-,-,-,-,-,1,2,4,1,-
170040 Almas,-,-,-,-,-,-,2,5,6,2,1,-
170070 Alvorada,-,-,-,-,-,3,1,-,3,2,8,4
170100 Ananás,-,-,1,-,-,-,4,18,34,26,5,5
170105 Angico,-,-,-,-,-,-,-,-,-,-,-,-
170110 Aparecida do Rio Negro,-,1,-,-,-,-,3,-,1,3,1,6
170130 Aragominas,-,-,-,-,-,-,-,1,-,-,7,2
170190 Araguacema,-,-,-,-,-,-,4,4,1,2,4,-
170200 Araguaçu,-,-,-,1,1,6,6,4,4,12,4,3
170210 Araguaína,-,4,3,22,57,46,102,108,122,293,137,60
170215 Araguanã,-,-,-,-,-,1,8,7,4,2,1,-
170220 Araguatins,-,1,-,-,4,6,3,4,12,10,24,8
170230 Arapoema,-,-,-,2,-,3,8,2,2,-,2,1
170240 Arraias,-,1,-,-,-,-,2,2,2,1,-,1
170255 Augustinópolis,-,-,-,-,1,-,35,49,25,13,10,34
170270 Aurora do Tocantins,-,-,-,-,-,-,1,1,-,2,1,-
170290 Axixá do Tocantins,-,-,-,-,1,-,-,2,4,5,2,-
170300 Babaçulândia,-,-,-,-,-,-,1,1,6,9,-,-
170305 Bandeirantes do Tocantins,-,-,-,-,-,-,-,1,-,-,-,-
170307 Barra do Ouro,-,-,-,-,-,-,-,-,-,1,-,-
170310 Barrolândia,-,-,-,-,-,-,1,7,7,6,4,9
170320 Bernardo Sayão,-,-,-,-,-,-,-,6,4,2,2,-
170330 Bom Jesus do Tocantins,-,-,-,-,-,1,2,-,6,5,10,4
170360 Brasilândia do Tocantins,-,-,-,-,-,3,2,-,-,-,-,-
170370 Brejinho de Nazaré,-,-,-,-,-,-,-,4,2,5,4,-
170380 Buriti do Tocantins,-,-,-,-,-,-,4,1,3,3,2,2
170382 Cachoeirinha,-,-,-,-,-,-,-,1,-,-,-,-
170384 Campos Lindos,-,-,-,-,-,1,-,1,9,2,2,3
170386 Cariri do Tocantins,-,-,-,-,-,-,5,5,8,7,1,1
170388 Carmolândia,-,-,-,-,-,-,-,-,-,1,2,-
170389 Carrasco Bonito,-,-,-,-,-,-,6,6,9,11,2,1
170390 Caseara,-,-,-,-,-,-,-,3,3,-,1,-
170410 Centenário,-,-,-,-,-,-,-,1,6,1,1,-
170510 Chapada da Natividade,-,-,-,-,-,-,-,-,-,1,-,-
170460 Chapada de Areia,-,-,-,-,-,-,-,-,3,1,-,-
170550 Colinas do Tocantins,-,1,2,-,-,5,16,22,37,33,17,5
171670 Colméia,-,1,-,-,1,1,2,1,2,11,3,4
170555 Combinado,-,-,1,-,-,-,1,3,-,2,-,-
170560 Conceição do Tocantins,-,-,-,-,-,-,2,11,3,6,-,-
170600 Couto Magalhães,-,-,-,1,-,-,4,2,9,2,-,-
170610 Cristalândia,-,-,-,-,-,1,3,1,5,4,10,-
170625 Crixás do Tocantins,-,-,-,-,-,1,-,-,3,-,-,-
170650 Darcinópolis,-,-,-,1,2,-,1,3,4,2,-,-
170700 Dianópolis,-,-,-,1,-,-,2,3,-,3,1,1
170710 Divinópolis do Tocantins,-,-,-,-,-,-,6,13,15,6,4,-
170720 Dois Irmãos do Tocantins,-,-,-,-,-,-,-,2,-,-,-,-
170730 Dueré,-,-,2,-,-,3,1,5,-,-,3,-
170740 Esperantina,-,-,-,-,1,-,4,4,3,12,2,1
170755 Fátima,-,-,-,-,-,-,-,1,4,4,2,-
170765 Figueirópolis,-,-,-,-,-,-,-,-,1,2,1,-
170770 Filadélfia,-,-,-,-,-,-,1,-,-,1,-,-
170820 Formoso do Araguaia,-,1,3,3,-,-,11,4,7,8,2,2
170825 Fortaleza do Tabocão,-,-,-,1,-,-,-,4,1,1,3,6
170830 Goianorte,-,-,-,-,-,1,1,1,-,-,-,-
170900 Goiatins,-,-,-,-,-,-,5,1,5,5,10,2
170930 Guaraí,-,-,1,2,2,2,17,14,36,43,35,20
170950 Gurupi,-,4,3,8,11,8,21,57,61,52,31,19
170980 Ipueiras,-,-,-,-,-,1,2,-,4,3,-,-
171050 Itacajá,-,-,-,-,2,-,2,2,4,7,-,3
171070 Itaguatins,-,-,-,1,-,-,-,-,-,2,-,-
171090 Itapiratins,-,-,-,-,-,-,1,1,3,-,1,9
171110 Itaporã do Tocantins,-,-,-,-,-,-,-,-,6,3,3,-
171150 Jaú do Tocantins,-,1,-,-,-,-,-,-,-,-,-,-
171180 Juarina,-,-,-,-,-,1,-,2,-,-,-,-
171190 Lagoa da Confusão,-,-,-,-,1,1,7,11,5,8,4,1
171195 Lagoa do Tocantins,-,-,-,1,1,2,2,1,-,-,2,-
171200 Lajeado,-,-,-,-,-,-,3,3,2,1,3,4
171215 Lavandeira,-,-,-,-,-,-,-,-,-,-,-,-
171240 Lizarda,-,-,-,-,-,-,1,-,4,1,-,-
171245 Luzinópolis,-,-,-,-,-,1,-,-,-,-,2,3
171250 Marianópolis do Tocantins,-,-,-,-,-,-,-,-,6,13,3,1
171270 Mateiros,-,-,-,-,-,-,-,-,-,1,-,-
171280 Maurilândia do Tocantins,-,-,-,-,-,-,3,5,7,5,-,1
171320 Miracema do Tocantins,-,-,2,1,3,4,6,18,49,27,11,2
171330 Miranorte,-,-,-,4,5,3,3,5,9,8,-,-
171360 Monte do Carmo,-,-,-,-,-,-,1,2,5,4,1,2
171370 Monte Santo do Tocantins,-,-,-,2,-,-,1,-,-,2,1,-
171395 Muricilândia,-,-,1,-,-,1,3,2,-,9,4,2
171420 Natividade,-,-,-,-,2,-,-,12,2,2,-,-
